iter	Passed	Remaining
2639	61733	172106
2640	61754	172074
2641	61773	172041
2642	61796	172016
2643	61832	172028
2644	61857	172008
2645	61881	171985
2646	61899	171948
2647	61921	171920
2648	61942	171891
2649	61965	171866
2650	61986	171835
2651	62007	171805
2652	62029	171778
2653	62049	171747
2654	62071	171718
2655	62092	171689
2656	62114	171663
2657	62136	171635
2658	62158	171608
2659	62184	171591
2660	62205	171561
2661	62226	171531
2662	62248	171504
2663	62272	171482
2664	62300	171471
2665	62323	171448
2666	62345	171421
2667	62372	171406
2668	62399	171393
2669	62423	171372
2670	62447	171349
2671	62469	171322
2672	62498	171314
2673	62520	171288
2674	62541	171258
2675	62564	171233
2676	62587	171210
2677	62610	171183
2678	62632	171157
2679	62655	171134
2680	62685	171128
2681	62709	171107
2682	62730	171076
2683	62756	171060
2684	62778	171034
2685	62802	171012
2686	62823	170982
2687	62848	170962
2688	62881	170966
2689	62909	170955
2690	62928	170919
2691	62949	170888
2692	62970	170858
2693	62992	170832
2694	63013	170804
2695	63036	170777
2696	63064	170767
2697	63089	170748
2698	63115	170731
2699	63134	170696
2700	63157	170672
2701	63179	170646
2702	63206	170632
2703	63229	170606
2704	63255	170589
2705	63281	170573
2706	63306	170555
2707	63334	170543
2708	63360	170527
2709	63381	170499
2710	63405	170477
2711	63430	170459
2712	63453	170432
2713	63474	170403
2714	63497	170378
2715	63521	170356
2716	63542	170327
2717	63563	170298
2718	63586	170274
2719	63608	170247
2720	63632	170223
2721	63665	170226
2722	63685	170195
2723	63709	170172
2724	63737	170162
2725	63761	170139
2726	63800	170158
2727	63828	170146
2728	63849	170117
2729	63871	170090
2730	63894	170064
2731	63918	170044
2732	63940	170017
2733	63962	169990
2734	63985	169964
2735	64007	169938
2736	64028	169908
2737	64061	169910
2738	64086	169889
2739	64105	169856
2740	64131	169838
2741	64158	169824
2742	64180	169797
2743	64193	169748
2744	64216	169722
2745	64243	169709
2746	64276	169710
2747	64300	169690
2748	64321	169661
2749	64344	169634
2750	64367	169611
2751	64390	169587
2752	64413	169561
2753	64434	169533
2754	64460	169516
